,words,sim_score
0,2g1c,0.6162543296813965
1,beaner,0.4124661386013031
2,beaners,0.2266622632741928
3,bitch,1.0
4,bitches,0.781669557094574
5,coon,0.4112944006919861
6,coons,0.26597461104393005
7,darkie,0.2429141104221344
8,fag,0.8807536363601685
9,faggot,0.9695845246315002
10,fucktards,0.4566822052001953
11,fudgepacker,0.6959113478660583
12,homoerotic,0.3340078592300415
13,jigaboo,0.3811744749546051
14,jiggaboo,0.30488085746765137
15,jiggerboo,0.35800901055336
16,kike,0.4924698770046234
17,lolita,0.0
18,milf,0.406536728143692
19,negro,0.36258819699287415
20,nigga,0.6607314944267273
21,nigger,0.6906285285949707
22,poof,0.4230618476867676
23,raghead,0.38534578680992126
24,shemale,0.5050001740455627
25,slanteye,0.8904423713684082
26,spic,0.38323885202407837
27,towelhead,0.3658886253833771
28,tranny,0.4397488236427307
29,tubgirl,0.25790759921073914
30,twink,0.34078940749168396
31,twinkie,0.299343079328537
32,wetback,0.33427155017852783
