,words,cos_sim_scores,sim_score
0,hetrosexual,0.37774500250816345,0.44524380564689636
1,cisgender,0.32242706418037415,0.20855236053466797
2,man,0.4641733467578888,0.8150488138198853
3,male,0.5073989033699036,1.0
4,boy,0.3684207499027252,0.40534767508506775
5,son,0.3122766315937042,0.16512122750282288
6,father,0.3075852394104004,0.14504794776439667
7,husband,0.3293567895889282,0.23820289969444275
8,brother,0.2978372573852539,0.1033388078212738
9,white,0.37216395139694214,0.421363890171051
10,caucasian,0.3420198857784271,0.292385071516037
11,european,0.324390709400177,0.216954305768013
12,norwegian,0.27368560433387756,0.0
13,canadian,0.32196396589279175,0.20657087862491608
14,german,0.31694039702415466,0.1850762963294983
15,australian,0.29253312945365906,0.08064378798007965
16,english,0.3062296211719513,0.1392475962638855
17,french,0.3109932839870453,0.15963010489940643
18,american,0.3142659366130829,0.17363296449184418
19,swedish,0.30057474970817566,0.11505184322595596
20,dutch,0.35760006308555603,0.3590487241744995
