,word,mean_sim_score
0,2g1c,0.4435013234615326
1,beaner,0.3504001200199127
2,beaners,0.4269978404045105
3,bitch,0.25294139981269836
4,bitches,0.23514780402183533
5,coon,0.15410085022449493
6,coons,0.232459157705307
7,darkie,0.3039402961730957
8,fag,0.2508833408355713
9,faggot,0.25894054770469666
10,fucktards,0.2833467423915863
11,fudgepacker,0.18187254667282104
12,homoerotic,0.3309757709503174
13,jigaboo,0.2581440210342407
14,jiggaboo,0.27686190605163574
15,jiggerboo,0.31010517477989197
16,kike,0.41154614090919495
17,lolita,0.4575580954551697
18,milf,0.4998367428779602
19,negro,0.21681222319602966
20,nigga,0.18725843727588654
21,nigger,0.19561176002025604
22,poof,0.3442610502243042
23,raghead,0.35123157501220703
24,shemale,0.17146524786949158
25,slanteye,0.3732755780220032
26,spic,0.316881000995636
27,towelhead,0.3174583315849304
28,tranny,0.243374302983284
29,tubgirl,0.20726771652698517
30,twink,0.35763928294181824
31,twinkie,0.4974457025527954
32,wetback,0.4100581407546997
