,words,sim_score
0,beaner,0.603451132774353
1,beaners,0.23934634029865265
2,bitch,1.0
3,bitches,0.8297526240348816
4,coon,0.4867298901081085
5,coons,0.25846946239471436
6,darkie,0.5559663772583008
7,fag,0.6167026162147522
8,faggot,0.8052355051040649
9,fucktards,0.31025174260139465
10,fudgepacker,0.44385573267936707
11,homoerotic,0.21373553574085236
12,jigaboo,0.5890396237373352
13,jiggaboo,0.448293536901474
14,kike,0.45161741971969604
15,lolita,0.0
16,milf,0.6050476431846619
17,negro,0.24175940454006195
18,nigga,0.5714262127876282
19,nigger,0.7043913006782532
20,poof,0.6933921575546265
21,raghead,0.4972791075706482
22,shemale,0.5143500566482544
23,slanteye,0.5513207316398621
24,spic,0.5508223176002502
25,towelhead,0.5122668743133545
26,tranny,0.6397390365600586
27,tubgirl,0.19512410461902618
28,twink,0.8880676031112671
29,twinkie,0.39673370122909546
30,wetback,0.43880537152290344
