,word,mean_sim_score
0,beaner,0.35663852095603943
1,beaners,0.24454373121261597
2,bitch,0.3979572653770447
3,bitches,0.34020474553108215
4,coon,0.31221121549606323
5,coons,0.33657094836235046
6,darkie,0.40408840775489807
7,fag,0.2818588316440582
8,faggot,0.31765037775039673
9,fucktards,0.282883882522583
10,fudgepacker,0.35268697142601013
11,homoerotic,0.41334599256515503
12,jigaboo,0.41041144728660583
13,jiggaboo,0.4719652831554413
14,kike,0.3733174204826355
15,lolita,0.5110371112823486
16,milf,0.46846142411231995
17,negro,0.3178670406341553
18,nigga,0.31978583335876465
19,nigger,0.2648400366306305
20,poof,0.4213029146194458
21,raghead,0.42667627334594727
22,shemale,0.2915153503417969
23,slanteye,0.542930543422699
24,spic,0.3171517848968506
25,towelhead,0.4491978883743286
26,tranny,0.3859061300754547
27,tubgirl,0.3899858891963959
28,twink,0.5023032426834106
29,twinkie,0.622689962387085
30,wetback,0.3993435800075531
