,word,mean_sim_score
0,lesbian,0.4585753381252289
1,gay,0.44864243268966675
2,bisexual,0.5434661507606506
3,transgender,0.4612993597984314
4,tran,0.5178998708724976
5,queer,0.3711368441581726
6,lgbt,0.3937590420246124
7,lgbtq,0.41266968846321106
8,homosexual,0.4471341073513031
9,woman,0.4830113351345062
10,female,0.4781286418437958
11,girl,0.46152645349502563
12,wife,0.556682288646698
13,sister,0.5151344537734985
14,daughter,0.5363069176673889
15,mother,0.49433568120002747
16,non-binary,0.4603068232536316
17,african,0.32619988918304443
18,asian,0.43353891372680664
19,black,0.36748307943344116
20,hispanic,0.33543509244918823
21,latin,0.35400718450546265
22,mexican,0.2990565598011017
23,indian,0.38329386711120605
24,arab,0.3638697862625122
