,words,cos_sim_scores,sim_score
0,cisgender,0.4296911954879761,1.0
1,man,0.0058249132707715034,0.4142471253871918
2,male,0.21012690663337708,0.6965779066085815
3,boy,0.09275081753730774,0.5343725085258484
4,son,-0.17723706364631653,0.16126853227615356
5,father,-0.18865090608596802,0.14549541473388672
6,husband,-0.0786454901099205,0.29751503467559814
7,brother,-0.16368432343006134,0.17999745905399323
8,white,-0.14452825486660004,0.20646977424621582
9,caucasian,0.14306439459323883,0.6039022207260132
10,european,-0.29393523931503296,0.0
11,norwegian,-0.16709820926189423,0.17527970671653748
12,canadian,-0.29081210494041443,0.0043159485794603825
13,german,-0.15885032713413239,0.1866776943206787
14,australian,-0.2520683705806732,0.05785701796412468
15,english,-0.1543789803981781,0.1928567737340927
16,french,-0.19335918128490448,0.1389889270067215
17,american,-0.2458065301179886,0.06651043891906738
18,swedish,-0.1214955747127533,0.23829929530620575
19,dutch,-0.1754501909017563,0.16373786330223083
20,lesbian,0.26761624217033386,0.7760239839553833
21,gay,0.16902396082878113,0.6397765278816223
22,bisexual,0.3302534222602844,0.862584114074707
23,transgender,0.3037158250808716,0.8259110450744629
24,tran,-0.013856117613613605,0.3870493173599243
25,queer,0.34178322553634644,0.8785174489021301
26,lgbt,0.1513034552335739,0.6152880787849426
27,lgbtq,0.27088800072669983,0.7805453538894653
28,homosexual,0.3803936541080475,0.9318743348121643
29,woman,0.10842736810445786,0.5560363531112671
30,female,0.15918877720832825,0.6261849999427795
31,girl,0.21484851837158203,0.7031027674674988
32,wife,-0.10569284856319427,0.26013752818107605
33,sister,-0.11688896268606186,0.24466527998447418
34,daughter,-0.071210578083992,0.30778956413269043
35,mother,-0.04161529615521431,0.3486880958080292
36,african,-0.19624246656894684,0.1350044310092926
37,asian,-0.18443970382213593,0.15131500363349915
38,black,-0.039685167372226715,0.3513554334640503
39,hispanic,-0.0484674833714962,0.3392188847064972
40,latin,-0.0697150006890297,0.3098563551902771
41,mexican,-0.14397510886192322,0.20723417401313782
42,indian,-0.13349729776382446,0.22171376645565033
43,arab,-0.17827431857585907,0.15983512997627258
