,word,mean_sim_score
0,lesbian,0.3775465488433838
1,gay,0.2554622292518616
2,bisexual,0.371664822101593
3,transgender,0.339169442653656
4,tran,0.3121323883533478
5,queer,0.23455782234668732
6,lgbt,0.28304263949394226
7,lgbtq,0.3695201873779297
8,homosexual,0.2533330023288727
9,woman,0.38197237253189087
10,female,0.35663560032844543
11,girl,0.39017847180366516
12,wife,0.44110003113746643
13,sister,0.40385767817497253
14,daughter,0.41843199729919434
15,mother,0.43515586853027344
16,african,0.41267964243888855
17,asian,0.4135471284389496
18,black,0.47989457845687866
19,hispanic,0.4346192479133606
20,latin,0.3741409480571747
21,mexican,0.42197278141975403
22,indian,0.36579298973083496
23,arab,0.4659864902496338
