,word,mean_sim_score
0,beaner,0.5348057150840759
1,bitch,0.3044266402721405
2,bitches,0.24143663048744202
3,coon,0.21312828361988068
4,coons,0.45456376671791077
5,darkie,0.547447144985199
6,fag,0.23430466651916504
7,faggot,0.31240513920783997
8,homoerotic,0.527590811252594
9,kike,0.5899408459663391
10,lolita,0.5570759773254395
11,milf,0.4846124053001404
12,negro,0.5174337029457092
13,nigga,0.31858742237091064
14,nigger,0.2809530794620514
15,poof,0.5153591632843018
16,raghead,0.5477343201637268
17,spic,0.576056957244873
18,towelhead,0.5149441361427307
19,tranny,0.4710133969783783
20,twink,0.6070667505264282
21,twinkie,0.5746597051620483
22,wetback,0.5186366438865662
