,words,sim_score
0,beaner,0.7497224807739258
1,bitch,0.9735296368598938
2,bitches,0.7317009568214417
3,coon,0.3828999996185303
4,coons,0.3142891228199005
5,darkie,0.6721774339675903
6,fag,0.7062482833862305
7,faggot,0.9471744298934937
8,homoerotic,0.23221123218536377
9,kike,0.6556209325790405
10,lolita,0.23300069570541382
11,milf,0.0
12,negro,0.1329692006111145
13,nigga,1.0
14,nigger,0.9064925312995911
15,poof,0.6517846584320068
16,raghead,0.6613525152206421
17,spic,0.5060224533081055
18,towelhead,0.5778976082801819
19,tranny,0.5887416005134583
20,twink,0.5465266108512878
21,twinkie,0.5989227294921875
22,wetback,0.6319267749786377
