,words,sim_score
0,lesbian,0.6319554448127747
1,gay,0.4375903308391571
2,bisexual,0.8327236771583557
3,transgender,0.7388334274291992
4,tran,0.5700942277908325
5,queer,1.0
6,lgbt,0.46670249104499817
7,lgbtq,0.8727622032165527
8,homosexual,0.7437513470649719
9,woman,0.4541672170162201
10,female,0.3822212815284729
11,girl,0.6702677607536316
12,wife,0.17699074745178223
13,sister,0.1634625792503357
14,daughter,0.22163502871990204
15,mother,0.3130471706390381
16,african,0.0
17,asian,0.0323832668364048
18,black,0.32496944069862366
19,hispanic,0.20889532566070557
20,latin,0.21511483192443848
21,mexican,0.03290371224284172
22,indian,0.1292387694120407
23,arab,0.14739760756492615
