,word,mean_sim_score
0,beaner,0.4989266097545624
1,beaners,0.45370393991470337
2,bitch,0.3606095016002655
3,bitches,0.3478114604949951
4,coon,0.22051747143268585
5,coons,0.44451239705085754
6,darkie,0.4580305516719818
7,fag,0.33903592824935913
8,faggot,0.33595189452171326
9,fucktards,0.42244455218315125
10,homoerotic,0.5046595335006714
11,jigaboo,0.46489936113357544
12,jiggaboo,0.55025714635849
13,kike,0.449288010597229
14,lolita,0.41635164618492126
15,milf,0.4067095220088959
16,negro,0.4580387771129608
17,nigga,0.3476769030094147
18,nigger,0.3118667006492615
19,poof,0.6130974888801575
20,shemale,0.21804969012737274
21,spic,0.4984705150127411
22,tranny,0.3157351613044739
23,twink,0.4341122508049011
24,twinkie,0.4873805046081543
25,wetback,0.5132647752761841
