,words,sim_score
0,beaner,0.49090737104415894
1,beaners,0.43018749356269836
2,bitch,0.9171051979064941
3,bitches,0.8208063840866089
4,coon,0.42631685733795166
5,coons,0.49078989028930664
6,darkie,0.36499693989753723
7,fag,0.9012899994850159
8,faggot,1.0
9,fucktards,0.6285561323165894
10,homoerotic,0.16692335903644562
11,jigaboo,0.21425779163837433
12,jiggaboo,0.23843204975128174
13,kike,0.12876877188682556
14,lolita,0.0
15,milf,0.6077924370765686
16,negro,0.04391094297170639
17,nigga,0.8431397676467896
18,nigger,0.9096965193748474
19,poof,0.3390456736087799
20,shemale,0.3923563063144684
21,spic,0.5493566989898682
22,tranny,0.601157546043396
23,twink,0.4761725962162018
24,twinkie,0.3942904770374298
25,wetback,0.47160711884498596
