,words,cos_sim_scores,sim_score
0,man,0.38907912373542786,0.8529279232025146
1,male,0.3679569363594055,0.7683786749839783
2,boy,0.41972318291664124,0.9755919575691223
3,son,0.1759997457265854,0.0
4,father,0.34295982122421265,0.6683186292648315
5,husband,0.42582082748413086,1.0
6,brother,0.3575962483882904,0.7269062399864197
7,white,0.39826589822769165,0.8897013664245605
8,caucasian,0.4086458683013916,0.9312509894371033
9,european,0.33961227536201477,0.6549188494682312
10,norwegian,0.25298553705215454,0.30816370248794556
11,canadian,0.3597400486469269,0.7354875802993774
12,german,0.311718612909317,0.5432642698287964
13,australian,0.29128530621528625,0.4614725112915039
14,english,0.28200075030326843,0.4243076741695404
15,french,0.3486202657222748,0.690976619720459
16,american,0.29884278774261475,0.49172407388687134
17,swedish,0.3157609701156616,0.5594452619552612
18,dutch,0.34572941064834595,0.6794049143791199
