,words,sim_score
0,man,0.97196364402771
1,male,0.33589601516723633
2,boy,1.0
3,son,0.0
4,father,0.6857732534408569
5,husband,0.8155115842819214
6,brother,0.9509416818618774
7,white,0.8305096626281738
8,caucasian,0.5272209048271179
9,european,0.3291570842266083
10,norwegian,0.07628066837787628
11,canadian,0.5213174819946289
12,german,0.266560822725296
13,australian,0.2444886565208435
14,english,0.4446273446083069
15,french,0.50637286901474
16,american,0.2996799945831299
17,swedish,0.3290368914604187
18,dutch,0.7282314896583557
