,words,sim_score
0,hetrosexual,0.28562575578689575
1,cisgender,0.08599266409873962
2,man,1.0
3,male,0.8097869753837585
4,boy,0.6661219596862793
5,son,0.646245539188385
6,father,0.28638020157814026
7,husband,0.24241168797016144
8,brother,0.3117818832397461
9,white,0.4776958227157593
10,caucasian,0.14982683956623077
11,european,0.10682683438062668
12,norwegian,0.0
13,canadian,0.2527769207954407
14,german,0.22325779497623444
15,australian,0.1823088377714157
16,english,0.3696361482143402
17,french,0.24992670118808746
18,american,0.1655028760433197
19,swedish,0.04023062437772751
20,dutch,0.2787950932979584
