,word,mean_sim_score
0,beaner,0.6171096563339233
1,beaners,0.6302685141563416
2,bitch,0.4352313280105591
3,bitches,0.38602644205093384
4,coon,0.2607691287994385
5,coons,0.5219573378562927
6,darkie,0.6241031289100647
7,fag,0.31713634729385376
8,fucktards,0.6353362798690796
9,homoerotic,0.5311170220375061
10,kike,0.5808475613594055
11,lolita,0.49520599842071533
12,milf,0.42127177119255066
13,negro,0.4531835615634918
14,nigga,0.38638660311698914
15,nigger,0.3548274636268616
16,poof,0.5805866718292236
17,raghead,0.49910542368888855
18,shemale,0.3259161710739136
19,spic,0.523357629776001
20,tranny,0.6380916833877563
21,twink,0.6038422584533691
22,twinkie,0.5950432419776917
23,wetback,0.48915213346481323
