,word,mean_sim_score
0,lesbian,0.31879425048828125
1,gay,0.3135257959365845
2,bisexual,0.4215071201324463
3,transgender,0.2442973256111145
4,tran,0.5225527286529541
5,queer,0.23410065472126007
6,lgbt,0.41366881132125854
7,homosexual,0.34685438871383667
8,woman,0.5409574508666992
9,female,0.4702983498573303
10,girl,0.5648894906044006
11,wife,0.5498678684234619
12,sister,0.4638685882091522
13,daughter,0.5486514568328857
14,mother,0.531717836856842
15,african,0.5372688174247742
16,asian,0.45481160283088684
17,black,0.5185904502868652
18,hispanic,0.532371461391449
19,latin,0.5709087252616882
20,mexican,0.5315994620323181
21,indian,0.5240623950958252
22,arab,0.5934802293777466
