,words,sim_score
0,beaner,0.6820611357688904
1,beaners,0.6448704600334167
2,bitch,1.0
3,bitches,0.8550426363945007
4,coon,0.27937665581703186
5,coons,0.40663671493530273
6,darkie,0.6451252698898315
7,fag,0.4355255365371704
8,fucktards,0.8344144821166992
9,homoerotic,0.1472126543521881
10,kike,0.6745643615722656
11,lolita,0.5181060433387756
12,milf,0.26813042163848877
13,negro,0.24956706166267395
14,nigga,0.7196810245513916
15,nigger,0.5198571681976318
16,poof,0.2580656111240387
17,raghead,0.1411251574754715
18,shemale,0.643774688243866
19,spic,0.0
20,tranny,0.522079348564148
21,twink,0.7289875149726868
22,twinkie,0.8173478245735168
23,wetback,0.39774781465530396
