,word,mean_sim_score
0,hetrosexual,0.6426727771759033
1,man,0.5540700554847717
2,male,0.4788253605365753
3,boy,0.6154671311378479
4,son,0.4670545756816864
5,father,0.43409404158592224
6,husband,0.5748668909072876
7,brother,0.5269068479537964
8,white,0.5417428612709045
9,caucasian,0.46569401025772095
10,european,0.46830976009368896
11,norwegian,0.5634620189666748
12,canadian,0.48085296154022217
13,german,0.4836505353450775
14,australian,0.5764017701148987
15,english,0.4556749165058136
16,french,0.4892236888408661
17,american,0.46273958683013916
18,swedish,0.46042168140411377
19,dutch,0.5223773717880249
