,ethnicity_word,w2v_sim,w2v_un_normalized_sim,glove_wk_sim,glove_wk_un_normalized_sim,glove_twitter_sim,glove_twitter_un_normalized_sim,ud_sim,ud_sim_un_normalized,chan_sim,chan_sim_un_normalized,glove_cc_sim,glove_cc_un_normalized_sim,glove_cc_large_sim,glove_cc_large_un_normalized_sim,FastText_CC_sim,FastText_CC_un_normalized_sim,FastText_CC_subwords_sim,FastText_CC_subwords_sim_un_normalized,FastText_wiki_sim,FastText_wiki_sim_un_normalized,FastText_wiki_subwords_sim,FastText_wiki_subwords_un_normalized_sim,SSWE_sim,SSWE_un_normalized_sim,Debias_w2v_sim,Debias_w2v_un_normalized_sim,P_DESIP_sim,P_DESIP_sim_un_normalized,U_DESIP_sim,U_DESIP_sim_un_normalized
0,lesbian,0.6779451370239258,0.4504682123661041,0.7760239839553833,0.2676162421703338,1.0,0.6366755962371826,0.8768577575683594,0.4841711223125458,0.97306889295578,0.6214815378189087,1.0,0.7457494735717773,1.0,0.69746994972229,1.0,0.6099732518196106,1.0,0.6951779723167419,0.9531924724578856,0.6265580058097839,0.9279221892356871,0.6065338850021362,1.0,0.6503164768218994,0.5696874856948853,0.4020343720912933,0.7463976144790649,0.2257926911115646,0.7476885914802551,0.2252074480056762
1,gay,0.6469837427139282,0.4372357428073883,0.6397765278816223,0.1690239608287811,0.7018458247184753,0.4843551814556122,0.9682612419128418,0.5079671144485474,0.7126235961914062,0.4236734807491302,0.8551930785179138,0.6343017816543579,0.777687668800354,0.5769797563552856,0.7384476661682129,0.5173447132110596,0.7799029350280762,0.6177559494972229,0.9004353284835815,0.6126333475112915,0.9781402349472046,0.6250689625740051,0.88728928565979,0.5410714745521545,0.6312540173530579,0.4275358915328979,0.651929497718811,0.1671033203601837,0.6528288125991821,0.16637022793293
2,bisexual,0.7651240825653076,0.4877273142337799,0.862584114074707,0.3302534222602844,0.6054995656013489,0.4351340532302856,0.7345728278160095,0.4471286535263061,0.7328442335128784,0.439031034708023,0.8414660692214966,0.623737096786499,0.8260176777839661,0.6031739711761475,0.7571051716804504,0.5239522457122803,0.698427677154541,0.589095950126648,0.694480836391449,0.55827397108078,0.7658075094223022,0.5466986298561096,0.0797170475125312,-0.2416688948869705,0.7224912643432617,0.4653273522853851,0.7453579306602478,0.2251467704772949,0.7440853714942932,0.2229725122451782
3,transgender,0.344016283750534,0.3077515661716461,0.8259110450744629,0.3037158250808716,0.392455130815506,0.326294332742691,0.5215430855751038,0.3916684687137604,0.47579026222229,0.2437987327575683,0.4624373912811279,0.332025408744812,0.3462168574333191,0.3431285917758941,0.3778973519802093,0.3896560966968536,0.3698059022426605,0.4734989404678345,0.4497679769992828,0.4936847686767578,0.7029392719268799,0.5234944820404053,0.5399065017700195,0.2043703347444534,0.2757791876792907,0.2802943587303161,0.7214438915252686,0.2102898955345153,0.719806969165802,0.2079137414693832
4,tran,0.26426562666893,0.2736672163009643,0.3870493173599243,-0.0138561176136136,0.0,0.1257976740598678,0.0,0.255889892578125,0.65096116065979,0.3768409490585327,0.1707093268632888,0.1075029000639915,0.2746641933917999,0.3043480515480041,0.1673359423875808,0.3150859475135803,0.1340736001729965,0.3905770182609558,0.1866983026266098,0.4242504835128784,0.6992944478988647,0.5221492052078247,0.164971262216568,-0.1590361446142196,0.2545571327209472,0.2715039551258087,0.2360928654670715,-0.0912398770451545,0.2384777963161468,-0.0906328931450843
5,queer,0.7356549501419067,0.4751326143741607,0.8785174489021301,0.3417832255363464,0.7225856184959412,0.4949506819248199,0.6971154808998108,0.437377005815506,0.8084720969200134,0.4964703619480133,0.5081735849380493,0.36722531914711,0.5072830319404602,0.4304241836071014,0.6017531156539917,0.4689344465732574,0.6231425404548645,0.5626134276390076,0.8386351466178894,0.5963218808174133,0.9109817743301392,0.600281298160553,0.8017255663871765,0.4581387937068939,0.7195453643798828,0.4641071259975433,0.7956616282463074,0.2563985288143158,0.7982810139656067,0.2565876245498657
6,lgbt,0.6541961431503296,0.44031822681427,0.6152880787849426,0.1513034552335739,0.2981022298336029,0.2780915200710296,0.3195050656795501,0.3390698730945587,0.3260297179222107,0.130055695772171,0.244978129863739,0.1646623611450195,0.2445482909679412,0.2880256474018097,0.2995304763317108,0.3619025349617004,0.1801446229219436,0.4067831039428711,0.1934148669242859,0.4260232448577881,0.0640642642974853,0.2876907885074615,0.0,-0.3189347386360168,0.6335542798042297,0.4284886717796325,0.596024751663208,0.1323718726634979,0.5913571715354919,0.1282421499490738
7,lgbtq,0.0,0.0,0.7805453538894653,0.2708880007266998,0.2343202978372573,0.2455067336559295,0.2572087943553924,0.3228516578674316,0.2405116558074951,0.0651047751307487,0.1976486891508102,0.1282362192869186,0.236431285738945,0.2836263477802276,0.2162835597991943,0.3324207067489624,0.0,0.3434148728847503,0.3669514954090118,0.4718262851238251,0.0,0.2640451788902282,0.0,0.0,0.0,0.0,0.6666592359542847,0.1762543469667434,0.6703288555145264,0.1772246807813644
8,homosexual,0.6642535328865051,0.4446166157722473,0.9318743348121644,0.3803936541080475,0.5868152976036072,0.4255886673927307,1.0,0.5162299871444702,0.6923495531082153,0.4082753658294678,0.525435209274292,0.3805103898048401,0.4642703235149383,0.4071119129657745,0.7442476153373718,0.5193987488746643,0.6265006065368652,0.5637946724891663,0.910712957382202,0.6153460144996643,0.9879133105278016,0.6286761164665222,0.9086218476295472,0.5617480874061584,0.6559354066848755,0.4377591907978058,1.0,0.3833460211753845,1.0,0.3817047476768493
9,woman,0.4234887063503265,0.341717004776001,0.5560363531112671,0.1084273681044578,0.7366291880607605,0.5021252632141113,0.8977919220924377,0.4896211326122284,0.9309433102607728,0.5894871950149536,0.648493230342865,0.4752194583415985,0.4387848079204559,0.3932991325855255,0.4208785891532898,0.4048778712749481,0.5446012020111084,0.5349854826927185,0.7748767733573914,0.5794935822486877,0.816118061542511,0.5652678608894348,0.6191670894622803,0.281193733215332,0.3260674476623535,0.3011243045330047,0.4227998256683349,0.0247539188712835,0.4226813018321991,0.0236201677471399
