,offensive_ethnicity_word,w2v_sim,glove_wk_sim,glove_twitter_sim,ud_sim,chan_sim
0,2g1c,0.0,0.0,0.0,0.6162543296813965,0.0
2,beaner,0.6820611357688904,0.7497224807739258,0.4909073710441589,0.4124661386013031,0.603451132774353
3,beaners,0.6448704600334167,0.0,0.4301874935626984,0.2266622632741928,0.23934634029865265
4,bitch,1.0,0.9735296368598938,0.917105197906494,1.0,1.0
5,bitches,0.8550426363945007,0.7317009568214417,0.8208063840866089,0.7816695570945741,0.8297526240348816
9,coon,0.27937665581703186,0.3828999996185303,0.4263168573379517,0.4112944006919861,0.4867298901081085
10,coons,0.4066367149353027,0.3142891228199005,0.4907898902893066,0.26597461104393005,0.2584694623947144
11,darkie,0.6451252698898315,0.6721774339675903,0.3649969398975372,0.2429141104221344,0.5559663772583008
12,fag,0.4355255365371704,0.7062482833862305,0.901289999485016,0.8807536363601685,0.6167026162147522
13,faggot,0.0,0.9471744298934937,1.0,0.9695845246315002,0.8052355051040649
15,fucktards,0.8344144821166992,0.0,0.6285561323165894,0.4566822052001953,0.31025174260139465
17,fudgepacker,0.0,0.0,0.0,0.6959113478660583,0.4438557326793671
23,homoerotic,0.1472126543521881,0.23221123218536374,0.16692335903644562,0.3340078592300415,0.2137355357408524
25,jigaboo,0.0,0.0,0.21425779163837436,0.3811744749546051,0.5890396237373352
26,jiggaboo,0.0,0.0,0.2384320497512817,0.30488085746765137,0.448293536901474
27,jiggerboo,0.0,0.0,0.0,0.35800901055336,0.0
28,kike,0.6745643615722656,0.6556209325790405,0.12876877188682556,0.4924698770046234,0.451617419719696
29,lolita,0.5181060433387756,0.23300069570541385,0.0,0.0,0.0
30,milf,0.2681304216384888,0.0,0.6077924370765686,0.406536728143692,0.6050476431846619
31,negro,0.24956706166267395,0.1329692006111145,0.04391094297170639,0.36258819699287415,0.24175940454006195
32,nigga,0.7196810245513916,1.0,0.8431397676467896,0.6607314944267273,0.5714262127876282
33,nigger,0.5198571681976318,0.9064925312995912,0.9096965193748474,0.6906285285949707,0.7043913006782532
37,poof,0.2580656111240387,0.6517846584320068,0.3390456736087799,0.4230618476867676,0.6933921575546265
38,raghead,0.1411251574754715,0.6613525152206421,0.0,0.3853457868099213,0.4972791075706482
40,shemale,0.643774688243866,0.0,0.3923563063144684,0.5050001740455627,0.5143500566482544
41,slanteye,0.0,0.0,0.0,0.8904423713684082,0.5513207316398621
42,spic,0.0,0.5060224533081055,0.5493566989898682,0.3832388520240784,0.5508223176002502
45,towelhead,0.0,0.5778976082801819,0.0,0.3658886253833771,0.5122668743133545
46,tranny,0.522079348564148,0.5887416005134583,0.601157546043396,0.4397488236427307,0.6397390365600586
48,tubgirl,0.0,0.0,0.0,0.25790759921073914,0.19512410461902616
49,twink,0.7289875149726868,0.5465266108512878,0.4761725962162018,0.340789407491684,0.8880676031112671
50,twinkie,0.8173478245735168,0.5989227294921875,0.3942904770374298,0.299343079328537,0.39673370122909546
52,wetback,0.397747814655304,0.6319267749786377,0.471607118844986,0.33427155017852783,0.43880537152290333
