,ethnicity_word,w2v_sim,w2v_un_normalized_sim,glove_wk_sim,glove_wk_un_normalized_sim,glove_twitter_sim,glove_twitter_un_normalized_sim,ud_sim,ud_sim_un_normalized,chan_sim,chan_sim_un_normalized,glove_cc_sim,glove_cc_un_normalized_sim,glove_cc_large_sim,glove_cc_large_un_normalized_sim,FastText_CC_sim,FastText_CC_un_normalized_sim,FastText_CC_subwords_sim,FastText_CC_subwords_sim_un_normalized,FastText_wiki_sim,FastText_wiki_sim_un_normalized,FastText_wiki_subwords_sim,FastText_wiki_subwords_un_normalized_sim,SSWE_sim,SSWE_un_normalized_sim,Debias_w2v_sim,Debias_w2v_un_normalized_sim,P_DESIP_sim,P_DESIP_sim_un_normalized,U_DESIP_sim,U_DESIP_sim_un_normalized
0,hetrosexual,1.0,0.588110089302063,0.0,0.0,0.0,0.0,0.468061238527298,0.3777450025081634,0.2917507588863373,0.1040208488702774,0.2452504783868789,0.1648719608783722,0.4140984416007995,0.3799194693565368,0.6622676849365234,0.4903656244277954,0.3539305627346039,0.4679145812988281,0.9377244114875792,0.6224753856658936,0.8425267934799194,0.575015127658844,0.0,0.0,1.0,0.5802744626998901,0.0,0.0,0.0,0.0
1,cisgender,0.0,0.0,1.0,0.4296911954879761,0.0,0.0,0.2555778920650482,0.3224270641803741,0.5367709398269653,0.2901135087013244,0.1456171125173568,0.0881911963224411,0.1917314976453781,0.2593996822834015,0.4222400784492492,0.4053600430488586,0.2002273797988891,0.4138474762439728,0.5876061320304871,0.5300655961036682,0.7548913955688477,0.5426695942878723,0.0,0.0,0.0,0.0,0.9830471873283386,0.3728138506412506,0.9857035279273988,0.3728373050689697
2,man,0.2852009832859039,0.2826147079467773,0.4142471253871918,0.0058249132707715,0.5153510570526123,0.3890791237354278,0.8000437021255493,0.4641733467578888,0.7264875173568726,0.4342031478881836,0.5451135635375977,0.3956554532051086,0.2637423574924469,0.2984285652637481,0.4247915744781494,0.4062636494636535,0.6288061141967773,0.5646056532859802,0.8154388070106506,0.5901994705200195,0.9349457025527954,0.6091262102127075,0.6922141909599304,0.3519946932792663,0.3168833553791046,0.297320157289505,0.3520756959915161,-0.0191842298954725,0.3519503474235534,-0.0202510133385658
3,male,0.5993939638137817,0.4168965220451355,0.6965779066085815,0.210126906633377,0.4740061461925506,0.3679569363594055,0.9660786390304564,0.5073989033699036,0.654358446598053,0.3794211745262146,0.5731620788574219,0.4172424077987671,0.3665922582149505,0.3541717827320099,0.3728317320346832,0.3878621160984039,0.5176129341125488,0.5254920125007629,0.7350600361824036,0.5689843893051147,0.9598993062973022,0.6183363795280457,0.92037034034729,0.5731353163719177,0.4772446751594543,0.3637435436248779,0.5649323463439941,0.1130553558468818,0.565747857093811,0.1123578697443008
4,boy,0.3447351455688476,0.3080587983131408,0.5343725085258484,0.0927508175373077,0.5753341913223267,0.4197231829166412,0.4322455823421478,0.3684207499027252,0.795951247215271,0.4869608283042907,0.6309786438941956,0.461739718914032,0.4690028727054596,0.4096769094467163,0.4747899770736694,0.4239705502986908,0.6382176280021667,0.5679162740707397,0.8500168323516846,0.599325954914093,0.913998544216156,0.601394772529602,0.5874537825584412,0.2504555583000183,0.414738267660141,0.3378527164459228,0.3758144080638885,-0.0044362917542457,0.3763691484928131,-0.0051051476038992
5,son,0.0,0.1607236862182617,0.1612685322761535,-0.1772370636463165,0.0982662811875343,0.1759997457265854,0.2165887653827667,0.3122766315937042,0.7188020944595337,0.4283660352230072,0.359078586101532,0.2524774372577667,0.0134551879018545,0.1627764105796814,0.0768675282597541,0.2830466330051422,0.2810717225074768,0.4422855377197265,0.2208758443593979,0.4332712590694427,0.4667991995811462,0.4363370537757873,0.4713168740272522,0.1378897130489349,0.0321854501962661,0.1793951988220214,0.0,-0.2379152178764343,0.0,-0.2385498434305191
6,father,0.0187197513878345,0.1687242537736892,0.1454954147338867,-0.188650906085968,0.425076425075531,0.3429598212242126,0.1985685229301452,0.3075852394104004,0.6193031072616577,0.3527966439723968,0.3204345405101776,0.2227358371019363,0.0,0.1554838865995407,0.0,0.2558240592479706,0.2492141276597976,0.4310792088508606,0.2608852684497833,0.4438312947750091,0.5161648392677307,0.4545575082302093,0.6993642449378967,0.358924925327301,0.0840304568409919,0.2008699625730514,0.010433574207127,-0.2314332425594329,0.0103199118748307,-0.2321488708257675
7,husband,0.19383405148983,0.2435657232999801,0.2975150346755981,-0.0786454901099205,0.5872697234153748,0.4258208274841308,0.2821958661079407,0.3293567895889282,0.8030206561088562,0.4923300147056579,0.4501051604747772,0.3225341737270355,0.1487611830234527,0.2361103743314743,0.1271401196718216,0.3008506298065185,0.3004976212978363,0.4491188526153564,0.2960796952247619,0.453120470046997,0.5254724621772766,0.4579928815364837,0.5472809672355652,0.2115180045366287,0.107674553990364,0.2106636017560959,0.1920526921749115,-0.1186003237962722,0.1921788603067398,-0.1193500235676765
8,brother,0.0245045442134141,0.1711965948343277,0.1799974590539932,-0.1636843234300613,0.4537259638309479,0.3575962483882904,0.1611252576112747,0.2978372573852539,0.5798248052597046,0.3228129148483276,0.3606145679950714,0.253659576177597,0.0827670022845268,0.200342446565628,0.0315381065011024,0.2669932544231415,0.3444357514381408,0.4645746648311615,0.2073495537042617,0.4297011494636535,0.4711016118526459,0.4379250407218933,0.6395013928413391,0.300902783870697,0.0,0.1660636365413665,0.0451684445142746,-0.2098538130521774,0.0452293567359447,-0.2104961276054382
9,white,0.2745000422000885,0.278041273355484,0.2064697742462158,-0.1445282548666,0.5333333015441895,0.3982658982276916,0.4466237127780914,0.3721639513969421,0.2731814980506897,0.0899174958467483,0.4358048141002655,0.311528205871582,0.1451268345117569,0.2341406047344207,0.2081082016229629,0.3295254111289978,0.5128728747367859,0.5238246321678162,0.4162440001964569,0.4848364889621734,0.736958920955658,0.5360508561134338,0.9928389191627502,0.64337557554245,0.2923879623413086,0.2871738970279693,0.3778652548789978,-0.0031621716916561,0.3643013834953308,-0.0125902462750673
10,caucasian,0.3822899758815765,0.3241092264652252,0.6039022207260132,0.1430643945932388,0.5536512136459351,0.4086458683013916,0.3308364450931549,0.3420198857784271,0.321743905544281,0.1268006265163421,0.3815107643604278,0.2697418928146362,0.3975737392902374,0.370963305234909,0.438317209482193,0.4110537469387054,0.4368068873882293,0.4970674216747284,0.4084213376045227,0.4827717840671539,0.5645824074745178,0.4724280536174774,0.154279813170433,-0.1693988442420959,0.3905097842216491,0.3278170228004455,0.5252037048339844,0.088373489677906,0.523530125617981,0.0861721262335777
12,european,0.2511357069015503,0.2680556774139404,0.0,-0.2939352393150329,0.4185238778591156,0.3396122753620147,0.2631205022335052,0.324390709400177,0.016230409964919,-0.1052366867661476,0.292986661195755,0.2016111463308334,0.3856735527515411,0.3645135760307312,0.4065504670143127,0.3998035788536072,0.3988838195800781,0.4837274849414825,0.2185254245996475,0.4326508939266205,0.456704318523407,0.4326111078262329,0.5601332783699036,0.2239750921726226,0.2717385590076446,0.2786206901073456,0.1635830551385879,-0.1362874060869217,0.1479793488979339,-0.1467649787664413
13,norwegian,0.4679589867591858,0.3607229888439178,0.1752797067165374,-0.1670982092618942,0.24895940721035,0.2529855370521545,0.0683556348085403,0.2736856043338775,0.2967460751533508,0.1078147962689399,0.1769233494997024,0.1122853904962539,0.199203222990036,0.2634492516517639,0.2382716089487075,0.3402077555656433,0.1411892026662826,0.3930800259113312,0.0655553713440895,0.3922761678695678,0.3241475820541382,0.3836854696273803,0.4601507186889648,0.1270669102668762,0.5104082226753235,0.3774802386760711,0.310297816991806,-0.0451392084360122,0.2981503307819366,-0.0536207444965839
14,canadian,0.4336499273777008,0.3460597693920135,0.0043159485794603,-0.2908121049404144,0.4579222798347473,0.3597400486469269,0.2537990808486938,0.3219639658927917,0.2315898537635803,0.0583286806941032,0.2019160538911819,0.1315205097198486,0.1677126735448837,0.2463818192481994,0.2582677006721496,0.3472893536090851,0.3204383254051208,0.4561332464218139,0.2048560827970504,0.4290430247783661,0.5213477611541748,0.4564704895019531,0.7671818137168884,0.4246571660041809,0.4646801650524139,0.3585391938686371,0.3086866438388824,-0.0461401641368866,0.2897683680057525,-0.0588197000324726
15,german,0.3666740953922272,0.3174352049827575,0.1866776943206787,-0.1588503271341323,0.3639244139194488,0.311718612909317,0.2345028966665268,0.3169403970241546,0.0664718598127365,-0.0670783370733261,0.3411816656589508,0.2387034296989441,0.3482205271720886,0.3442145586013794,0.3842679858207702,0.3919122517108917,0.467803806066513,0.5079709887504578,0.251074731349945,0.4412419199943542,0.6271573901176453,0.495523989200592,0.6077883839607239,0.2701649367809295,0.4123158752918243,0.3368493318557739,0.2545470893383026,-0.0797749757766723,0.2384037524461746,-0.0906788185238838
16,australian,0.4399231970310211,0.3487408757209778,0.0578570179641246,-0.2520683705806732,0.3239279389381408,0.2912853062152862,0.1407514214515686,0.292533129453659,0.1863923221826553,0.0240011718124151,0.1751047670841217,0.1108857542276382,0.2490781992673874,0.2904807925224304,0.3415020704269409,0.3767667412757873,0.3659789562225342,0.4721527695655823,0.0,0.3749735653400421,0.4239633679389953,0.4205266833305359,0.6212576627731323,0.2832200229167938,0.4616533815860748,0.3572854697704315,0.3705223798751831,-0.0077240355312824,0.353017657995224,-0.0195890180766582
17,english,0.4600279033184051,0.3573333621025085,0.1928567737340927,-0.1543789803981781,0.3057542145252228,0.2820007503032684,0.1933614164590835,0.3062296211719513,0.2146295458078384,0.0454473309218883,0.2666771113872528,0.1813625395298004,0.1248369216918945,0.2231437563896179,0.2064573168754577,0.328940749168396,0.2540674805641174,0.4327864348888397,0.3045060932636261,0.4553445279598236,0.5970069169998169,0.484395682811737,0.7709475755691528,0.4283071160316467,0.4859501421451568,0.3673494458198547,0.3505952358245849,-0.0201039928942918,0.33182492852211,-0.0327339172363281
18,french,0.3807159960269928,0.3234365284442901,0.1389889270067215,-0.1933591812849044,0.4361562430858612,0.3486202657222748,0.2116592526435852,0.3109932839870453,0.0943422019481659,-0.0459108240902423,0.363548994064331,0.2559179961681366,0.3145017027854919,0.325939416885376,0.3095880448818207,0.3654644191265106,0.475825697183609,0.5107927918434143,0.367873877286911,0.4720697402954101,0.7345311045646667,0.5351547598838806,0.4701544642448425,0.1367630213499069,0.4107947647571563,0.3362192809581756,0.238696351647377,-0.0896224230527877,0.2227135449647903,-0.1004107445478439
19,american,0.3973466157913208,0.3305442333221435,0.0665104389190673,-0.2458065301179886,0.3387210667133331,0.2988427877426147,0.224229946732521,0.3142659366130829,0.0,-0.117563672363758,0.2696943879127502,0.1836847215890884,0.2620747089385986,0.2975247204303741,0.3377057313919067,0.3754222691059112,0.4967652559280395,0.5181585550308228,0.3434221744537353,0.4656159877777099,0.6580820679664612,0.5069380402565002,0.8104949593544006,0.4666384756565094,0.4447546601295471,0.3502858281135559,0.2727777659893036,-0.0684489607810974,0.2515246570110321,-0.0825405269861221
20,swedish,0.3749461472034454,0.3209705650806427,0.2382992953062057,-0.1214955747127533,0.3718369901180267,0.3157609701156616,0.1716403216123581,0.3005747497081756,0.2674991488456726,0.0856017544865608,0.3247660994529724,0.2260695248842239,0.4108509123325348,0.3781593441963196,0.2533490061759949,0.3455474078655243,0.2815398275852203,0.4424501955509186,0.3775434792041778,0.4746219217777252,0.6318255662918091,0.4972469806671142,0.279199481010437,-0.0483202785253524,0.4038695394992828,0.3333507776260376,0.2773975729942322,-0.0655788630247116,0.2637544870376587,-0.074954904615879
21,dutch,0.4544019103050232,0.3549288809299469,0.1637378633022308,-0.1754501909017563,0.4304976463317871,0.3457294106483459,0.3906819224357605,0.357600063085556,0.1510733813047409,-0.0028235388454049,0.2702297270298004,0.1840967386960983,0.3399165868759155,0.3397139310836792,0.3529680967330932,0.3808274269104004,0.3992356956005096,0.4838512539863586,0.2313193529844284,0.4360277056694031,0.6789113879203796,0.5146259665489197,0.2264070957899093,-0.0994893983006477,0.4983353316783905,0.3724795281887054,0.3204801380634308,-0.0388133265078067,0.3052227199077606,-0.0492340587079525
