,words,cos_sim_scores,sim_score
0,hetrosexual,0.509341835975647,0.7589805722236633
1,cisgender,0.48246821761131287,0.6971148252487183
2,man,0.6140373349189758,1.0
3,male,0.5294543504714966,0.8052815794944763
4,boy,0.5850414037704468,0.9332484602928162
5,son,0.4405182898044586,0.600541889667511
6,father,0.43809276819229126,0.5949581265449524
7,husband,0.43195000290870667,0.5808168649673462
8,brother,0.45340755581855774,0.630214273929596
9,white,0.5214592814445496,0.7868761420249939
10,caucasian,0.4320000410079956,0.5809320211410522
11,european,0.42245838046073914,0.5589662194252014
12,norwegian,0.39996635913848877,0.5071873068809509
13,canadian,0.45330312848091125,0.6299738883972168
14,german,0.501928985118866,0.7419154047966003
15,australian,0.4166578948497772,0.5456129312515259
16,english,0.5045561790466309,0.7479634881019592
17,french,0.5424463152885437,0.8351903557777405
18,american,0.5011202692985535,0.7400537133216858
19,swedish,0.4964596927165985,0.7293245792388916
20,dutch,0.5269439816474915,0.799502432346344
21,lesbian,0.5087602138519287,0.757641613483429
22,gay,0.5556195974349976,0.8655165433883667
23,bisexual,0.45681577920913696,0.6380603313446045
24,transgender,0.4377381205558777,0.5941416621208191
25,tran,0.5319368839263916,0.8109965920448303
26,queer,0.5593321919441223,0.8740633130073547
27,lgbt,0.24073873460292816,0.14062951505184174
28,lgbtq,0.17965123057365417,0.0
29,homosexual,0.5210652947425842,0.7859691381454468
30,woman,0.5048807263374329,0.7487106323242188
31,female,0.5045992732048035,0.7480627298355103
32,girl,0.5759215354919434,0.9122536182403564
33,wife,0.43456679582595825,0.5868409872055054
34,sister,0.4194171130657196,0.5519648790359497
35,daughter,0.3933420181274414,0.49193742871284485
36,mother,0.47598645091056824,0.6821931600570679
37,non-binary,0.39643633365631104,0.49906086921691895
38,african,0.4350883364677429,0.5880416035652161
39,asian,0.4298589527606964,0.5760030746459961
40,black,0.540515661239624,0.8307458162307739
41,hispanic,0.4373067319393158,0.5931485891342163
42,latin,0.4560425281524658,0.6362802386283875
43,mexican,0.4334087073802948,0.5841749310493469
44,indian,0.4746388792991638,0.6790909171104431
45,arab,0.46257880330085754,0.6513274312019348
