,words,cos_sim_scores,sim_score
0,hetrosexual,0.4236133098602295,0.4083074629306793
1,cisgender,0.3638438284397125,0.20678314566612244
2,man,0.592853307723999,0.9789326786994934
3,male,0.47380244731903076,0.577529788017273
4,boy,0.5708116888999939,0.9046151041984558
5,son,0.46349555253982544,0.5427781343460083
6,father,0.44459959864616394,0.47906675934791565
7,husband,0.4389520287513733,0.460024893283844
8,brother,0.48728784918785095,0.6229984164237976
9,white,0.5305359363555908,0.768817663192749
10,caucasian,0.45636552572250366,0.5187378525733948
11,european,0.4562721848487854,0.5184231400489807
12,norwegian,0.39725133776664734,0.31942299008369446
13,canadian,0.4540603756904602,0.5109655857086182
14,german,0.4975067377090454,0.6574533581733704
15,australian,0.43659865856170654,0.4520900547504425
16,english,0.41588303446769714,0.3822433352470398
17,french,0.5098264217376709,0.6989915370941162
18,american,0.5157768726348877,0.719054639339447
19,swedish,0.43219977617263794,0.43725839257240295
20,dutch,0.483601450920105,0.6105690002441406
21,lesbian,0.5902246236801147,0.9700695276260376
22,gay,0.5551536679267883,0.8518210649490356
23,bisexual,0.5042942762374878,0.6803388595581055
24,transgender,0.39123955368995667,0.2991531193256378
25,tran,0.41540154814720154,0.38061991333961487
26,queer,0.5228369235992432,0.7428589463233948
27,lgbt,0.3551737368106842,0.17755027115345
28,lgbtq,0.3025146424770355,0.0
29,homosexual,0.4785782992839813,0.5936325192451477
30,woman,0.5051869750022888,0.6833487749099731
31,female,0.47627437114715576,0.5858643651008606
32,girl,0.5991016030311584,1.0
33,wife,0.4800508916378021,0.5985976457595825
34,sister,0.44593584537506104,0.48357218503952026
35,daughter,0.43350476026535034,0.4416583776473999
36,mother,0.49177712202072144,0.6381348371505737
37,non-binary,0.3131311237812042,0.035795509815216064
38,african,0.47134292125701904,0.5692370533943176
39,asian,0.5466798543930054,0.8232499957084656
40,black,0.5378610491752625,0.793515682220459
41,hispanic,0.44754230976104736,0.4889886975288391
42,latin,0.4567738473415375,0.5201146006584167
43,mexican,0.49651721119880676,0.6541169881820679
44,indian,0.5153663158416748,0.7176703810691833
45,arab,0.5519068837165833,0.8408738970756531
