,ethnicity_word,w2v_sim,w2v_un_normalized_sim,glove_wk_sim,glove_wk_un_normalized_sim,glove_twitter_sim,glove_twitter_un_normalized_sim,ud_sim,ud_sim_un_normalized,chan_sim,chan_sim_un_normalized,glove_cc_sim,glove_cc_un_normalized_sim,glove_cc_large_sim,glove_cc_large_un_normalized_sim,FastText_CC_sim,FastText_CC_un_normalized_sim,FastText_CC_subwords_sim,FastText_CC_subwords_sim_un_normalized,FastText_wiki_sim,FastText_wiki_sim_un_normalized,FastText_wiki_subwords_sim,FastText_wiki_subwords_un_normalized_sim,SSWE_sim,SSWE_un_normalized_sim,Debias_w2v_sim,Debias_w2v_un_normalized_sim,P_DESIP_sim,P_DESIP_sim_un_normalized,U_DESIP_sim,U_DESIP_sim_un_normalized
0,lesbian,0.5030868053436279,0.3418503999710083,0.6547118425369263,0.1030518263578414,0.848434567451477,0.4766373932361603,0.5879483819007874,0.3894339501857757,0.8184323310852051,0.398058533668518,1.0,0.5359075665473938,0.903079867362976,0.4764203429222107,1.0,0.49368616938591,0.9700695276260376,0.5902246236801147,0.7238849997520447,0.5420438647270203,0.757641613483429,0.5087602138519287,1.0,0.6764053106307983,0.4185787439346313,0.3165350258350372,0.5637909173965454,0.0608793683350086,0.5638591051101685,0.0609575733542442
1,gay,0.5032261610031128,0.3419021964073181,0.4929905533790588,-0.0011912346817553,0.7478924989700317,0.4337585568428039,1.0,0.4867438077926636,0.6984688639640808,0.3173290491104126,0.9538403749465942,0.509789764881134,0.8134156465530396,0.4407673478126526,0.8358222842216492,0.453593373298645,0.8518210649490356,0.5551536679267883,0.8051193952560425,0.5656973123550415,0.8655165433883667,0.5556195974349976,0.9255810379981996,0.6002134084701538,0.46110400557518,0.3315390348434448,0.4641239047050476,0.0058466279879212,0.4642132520675659,0.0059494855813682
2,bisexual,0.6102898716926575,0.3816918134689331,0.8217610120773315,0.2107290774583816,0.5169511437416077,0.3352674841880798,0.5316245555877686,0.3761325478553772,0.593442440032959,0.2466514259576797,0.8784164190292358,0.467113733291626,0.8028300404548645,0.4365582168102264,0.7497764229774475,0.4325806498527527,0.6803388595581055,0.5042942762374878,0.5651733875274658,0.4958309829235077,0.6380603313446045,0.4568157792091369,0.1045531406998634,-0.2403754442930221,0.5618278384208679,0.3670769929885864,0.6660021543502808,0.1173169761896133,0.6623145341873169,0.1153085231781005
3,transgender,0.132283329963684,0.204043373465538,0.7436396479606628,0.1603733152151107,0.1626726239919662,0.1841759830713272,0.3095502257347107,0.3236876130104065,0.2920828461647033,0.0438513346016407,0.4297389984130859,0.2132453322410583,0.2227479666471481,0.2059013396501541,0.1963423788547516,0.2974300384521484,0.2991531193256378,0.3912395536899566,0.2670273780822754,0.4090182483196258,0.5941416621208191,0.4377381205558777,0.5296936631202698,0.1948940008878708,0.0522204525768756,0.1872743964195251,0.5969332456588745,0.0791794508695602,0.5927403569221497,0.0769010931253433
4,tran,0.4121709764003753,0.3080620467662811,0.6032403111457825,0.0698740407824516,0.0,0.1147999167442321,0.0221906471997499,0.2558249533176422,0.6590118408203125,0.2907764017581939,0.2181098759174347,0.0935024097561836,0.4434118270874023,0.2936434745788574,0.2401560097932815,0.3081294894218445,0.3806199133396148,0.4154015481472015,0.3230539560317993,0.4253318011760711,0.8109965920448303,0.5319368839263916,0.1363188475370407,-0.2078529298305511,0.4117509722709656,0.3141260147094726,0.4129981994628906,-0.0223832577466964,0.4140544533729553,-0.021739961579442
5,queer,0.6936911344528198,0.4126874506473541,0.9609431028366088,0.3004437386989593,0.9414182305336,0.5162927508354187,0.8291593790054321,0.4463981986045837,1.0,0.5202445983886719,0.6752400398254395,0.352153480052948,0.7065787315368652,0.3982859849929809,0.7286103367805481,0.427411824464798,0.7428589463233948,0.5228369235992432,0.8039673566818237,0.5653618574142456,0.8740633130073547,0.5593321919441223,0.8184806704521179,0.4905613660812378,0.6691890358924866,0.4049567878246307,0.8159477114677429,0.200111836194992,0.8164286017417908,0.2003850042819976
6,lgbt,0.6587289571762085,0.3996939361095428,0.5172132849693298,0.0144223598763346,0.1645607501268386,0.1849812269210815,0.0478167235851287,0.2618767917156219,0.2282182574272155,0.0008736230665817,0.1796912550926208,0.0717645734548568,0.3010172545909881,0.2370233982801437,0.2254928052425384,0.3045486807823181,0.17755027115345,0.3551737368106842,0.1263529509305954,0.3680573403835296,0.1406295150518417,0.2407387346029281,0.0,-0.3474195599555969,0.6466795206069946,0.397014856338501,0.47195765376091,0.0101721631363034,0.4644146561622619,0.0060606761835515
7,lgbtq,0.0,0.0,0.8550750017166138,0.2322028130292892,0.1382749229669571,0.173770934343338,0.0412367507815361,0.2603228688240051,0.187382087111473,-0.0266070943325757,0.1731955260038375,0.0680891945958137,0.3718771338462829,0.2651992738246918,0.1717679053544998,0.2914288640022278,0.0,0.3025146424770355,0.1794181913137436,0.3835086226463318,0.0,0.1796512305736541,0.0,0.0,0.0,0.0,0.674812376499176,0.1221816837787628,0.6767871975898743,0.1232979521155357
8,homosexual,0.4587781429290771,0.3253833353519439,0.7477315664291382,0.1630108803510666,0.5055555105209351,0.3304075002670288,0.837184727191925,0.4482934474945068,0.5157812237739563,0.1943892538547516,0.5768811106681824,0.2965005338191986,0.471628725528717,0.304863303899765,0.7217804193496704,0.4257439374923706,0.5936325192451477,0.4785782992839813,0.6618937849998474,0.5239935517311096,0.7859691381454468,0.5210652947425842,0.8195908069610596,0.4916979670524597,0.417781800031662,0.3162538409233093,0.748086154460907,0.1626409590244293,0.7455913424491882,0.1612803041934967
9,woman,0.268328458070755,0.254603773355484,0.5067833065986633,0.0076993620023131,0.8466376662254333,0.4758710563182831,0.7420772314071655,0.4258329272270202,0.8025265336036682,0.387354701757431,0.742672860622406,0.3903079926967621,0.3922915458679199,0.2733166217803955,0.4927510917186737,0.3698141276836395,0.6833487749099731,0.5051869750022888,0.7452834844589233,0.548274576663971,0.7487106323242188,0.5048807263374329,0.6506655812263489,0.3187480270862579,0.250051200389862,0.2570741772651672,0.362073004245758,-0.0505024157464504,0.362339437007904,-0.0502884909510612
