,word,mean_sim_score
0,lesbians,0.3681308925151825
1,islam,0.5050429701805115
2,gays,0.433226078748703
3,bisexuals,0.4017207622528076
4,transgender,0.2442973256111145
5,trans,0.3685542345046997
6,queers,0.4442327320575714
7,lgbt,0.41366881132125854
8,homosexual,0.34685438871383667
9,heterosexual,0.38409557938575745
10,woman,0.5409574508666992
11,women,0.4235537350177765
12,females,0.507876455783844
13,girls,0.43871986865997314
14,africans,0.6192622780799866
15,blacks,0.3982829451560974
16,hispanic,0.532371461391449
17,latin,0.5709087252616882
18,mexicans,0.5590628385543823
19,indians,0.4610319137573242
20,muslims,0.5706838965415955
21,arabs,0.5780408978462219
22,jews,0.5281068682670593
