,words,cos_sim_scores,sim_score
0,cisgender,0.30173927545547485,1.0
1,man,-0.03265462443232536,0.39439624547958374
2,male,-0.024995557963848114,0.40826717019081116
3,boy,-0.030351240187883377,0.398567795753479
4,son,-0.25042688846588135,0.0
5,father,-0.24503377079963684,0.00976720079779625
6,husband,-0.19938813149929047,0.09243369102478027
7,brother,-0.2047588974237442,0.08270697295665741
8,white,-0.013041979633271694,0.42991572618484497
9,caucasian,0.0780377984046936,0.5948656797409058
10,european,-0.16108150780200958,0.16180886328220367
11,norwegian,-0.030001148581504822,0.39920181035995483
12,canadian,-0.08959941565990448,0.29126644134521484
13,german,-0.09395308047533035,0.28338176012039185
14,australian,-0.055303968489170074,0.35337719321250916
15,english,-0.013737748377025127,0.42865562438964844
16,french,-0.10222270339727402,0.268405020236969
17,american,-0.12063856422901154,0.23505301773548126
18,swedish,-0.05763872340321541,0.34914883971214294
19,dutch,-0.028227027505636215,0.40241482853889465
20,lesbian,0.06087936833500862,0.5637909173965454
21,gay,0.005846627987921238,0.4641239047050476
22,bisexual,0.11731697618961334,0.6660021543502808
23,transgender,0.07917945086956024,0.5969332456588745
24,tran,-0.022383257746696472,0.4129981994628906
25,queer,0.20011183619499207,0.8159477114677429
26,lgbt,0.010172163136303425,0.47195765376091003
27,lgbtq,0.12218168377876282,0.674812376499176
28,homosexual,0.16264095902442932,0.748086154460907
29,woman,-0.050502415746450424,0.36207300424575806
30,female,-0.0634576603770256,0.33861044049263
31,girl,0.0037496821023523808,0.4603261947631836
32,wife,-0.23361797630786896,0.030441764742136
33,sister,-0.22625043988227844,0.0437847338616848
34,daughter,-0.20061242580413818,0.09021643549203873
35,mother,-0.17018194496631622,0.14532752335071564
36,african,-0.07235723733901978,0.3224928677082062
37,asian,-0.050582777708768845,0.36192747950553894
38,black,0.05147459730505943,0.5467584133148193
39,hispanic,-0.016103848814964294,0.42437052726745605
40,latin,-0.0039420477114617825,0.446396142244339
41,mexican,-0.13467948138713837,0.20962423086166382
42,indian,-0.0798368975520134,0.308946818113327
43,arab,-0.07324002683162689,0.3208940923213959
