,words,sim_score
0,hetrosexual,1.0
1,man,0.31667837500572205
2,male,0.4020629823207855
3,boy,0.31729352474212646
4,son,0.01502876915037632
5,father,0.0
6,husband,0.15088403224945068
7,brother,0.07143351435661316
8,white,0.3213720917701721
9,caucasian,0.45400649309158325
10,european,0.4065384268760681
11,norwegian,0.5699577927589417
12,canadian,0.5986056923866272
13,german,0.5422117114067078
14,australian,0.6424529552459717
15,english,0.7212899923324585
16,french,0.5696297287940979
17,american,0.7154208421707153
18,swedish,0.536675214767456
19,dutch,0.6993526220321655
