,words,sim_score
0,hetrosexual,0.30024757981300354
1,cisgender,0.5488780736923218
2,man,0.8181103467941284
3,male,0.5534762144088745
4,boy,1.0
5,son,0.8633061051368713
6,father,0.6226800084114075
7,husband,0.7490283250808716
8,brother,0.7005466222763062
9,white,0.3048403561115265
10,caucasian,0.3333457410335541
11,european,0.0
12,norwegian,0.27522337436676025
13,canadian,0.3562733829021454
14,german,0.04216867685317993
15,australian,0.26051071286201477
16,english,0.29192355275154114
17,french,0.20551615953445435
18,american,0.07870645076036453
19,swedish,0.23233316838741302
20,dutch,0.22823002934455872
